onset	duration	trial_type	UpR	PR
10.155	4	pain	9.0	9.0
49.486	4	pain	9.0	9.0
88.783	4	pain	9.0	9.0
128.047	4	pain	9.0	9.0
167.295	4	pain	9.0	9.0
206.475	4	pain	9.0	9.0
245.673	4	pain	9.0	9.0
284.953	4	pain	9.0	8.0
324.134	4	pain	8.0	9.0
363.365	4	pain	9.0	9.0
402.595	4	pain	9.0	9.0
441.843	4	pain	9.0	8.0
481.04	4	pain	8.0	8.0
520.287	4	pain	9.0	9.0
559.468	4	pain	9.0	9.0
28.337	11	rating		
67.018	11	rating		
106.015	11	rating		
145.329	11	rating		
184.46	11	rating		
223.657	11	rating		
264.405	11	rating		
301.902	11	rating		
341.149	11	rating		
381.063	11	rating		
419.694	11	rating		
458.675	11	rating		
499.489	11	rating		
537.203	11	rating		
576.717	11	rating		
